ID,画像管理番号,掲載状況,登録区分,素材管理番号,BUD_PHOTO番号,被写体の名称,素材（画像）の詳細内容,撮影時期,撮影時期,掲載期間From,掲載期間To,期間,写真入手元,写真入手元　その他,掲載可能範囲,外部出稿条件付き,要クレジット,要使用許可 ,このアカウントのみ使用可,版権所有者,お客様情報　部署名,お客様情報　名前,新規者のアカント,新規者の名前,許可者のアカント,許可者の名前,許可日,備考,新規日付,画像ファイル名
,,2,3,元画像なし,EBP17-05871,960×260_専門店p_banner_バナー_ロシア、サンクトペテルブルク,バナー_Z001476700_専門店p_banner_ロシア、サンクトペテルブルク,-1,-1,2017/9/14,2020/9/14,mukigen,2,バド制作,1,,,,,,web推進課,中西　彩様,t.ishida,石田貴広,,,2017/9/14,,2017/9/14,EBP17-05871.jpg
,,2,3,元画像なし,BP17-005816,960×260_専門店p_banner_バナー_ロシア、モスクワ,バナー_Z001476700_専門店p_banner_ロシア、モスクワ,-1,-1,2017/9/14,2020/9/14,mukigen,2,バド制作,1,,,,,,web推進課,中西　彩様,t.ishida,石田貴広,,,2017/9/14,,2017/9/14,BP17-005816.jpg
,,2,3,元画像なし,BP17-004480,960×260_専門店p_banner_バナー_ロシア、セルギエフ ポサード,バナー_Z001476700_専門店p_banner_ロシア、セルギエフ ポサード,-1,-1,2017/9/14,2020/9/14,mukigen,2,バド制作,1,,,,,,web推進課,中西　彩様,t.ishida,石田貴広,,,2017/9/14,,2017/9/14,BP17-004480.jpg
,,2,3,元画像なし,EBP10-11868,960×260_専門店p_banner_バナー_ロシア、ウラジーミル,バナー_Z001476700_専門店p_banner_ロシア、ウラジーミル,-1,-1,2017/9/14,2020/9/14,mukigen,2,バド制作,1,,,,,,web推進課,中西　彩様,t.ishida,石田貴広,,,2017/9/14,,2017/9/14,EBP10-11868.jpg
,,2,3,元画像なし,EBP16-20321,960×260_専門店p_banner_バナー_ロシア、スズダリ,バナー_Z001476700_専門店p_banner_ロシア、スズダリ,-1,-1,2017/9/14,2020/9/14,mukigen,2,バド制作,1,,,,,,web推進課,中西　彩様,t.ishida,石田貴広,,,2017/9/14,,2017/9/14,EBP16-20321.jpg
,,2,3,元画像なし,EBP12-49360,960×260_専門店p_banner_バナー_ロシア、コルサコフ,バナー_Z001476700_専門店p_banner_ロシア、コルサコフ,-1,-1,2017/9/14,2020/9/14,mukigen,2,バド制作,1,,,,,,web推進課,中西　彩様,t.ishida,石田貴広,,,2017/9/14,,2017/9/14,EBP12-49360.jpg
,,2,3,元画像なし,BP17-004118,960×260_専門店p_banner_バナー_ロシア、ウラジオストク,バナー_Z001476700_専門店p_banner_ロシア、ウラジオストク,-1,-1,2017/9/14,2020/9/14,mukigen,2,バド制作,1,,,,,,web推進課,中西　彩様,t.ishida,石田貴広,,,2017/9/14,,2017/9/14,BP17-004118.jpg
,,2,3,元画像なし,EBP10-44867,960×260_専門店p_banner_バナー_ロシア、ハバロフスク,バナー_Z001476700_専門店p_banner_ロシア、ハバロフスク,-1,-1,2017/9/14,2020/9/14,mukigen,2,バド制作,1,,,,,,web推進課,中西　彩様,t.ishida,石田貴広,,,2017/9/14,,2017/9/14,EBP10-44867.jpg
,,2,3,元画像なし,EBP13-62656,960×260_専門店p_banner_バナー_ロシア、ユジノサハリンスク,バナー_Z001476700_専門店p_banner_ロシア、ユジノサハリンスク,-1,-1,2017/9/14,2020/9/14,mukigen,2,バド制作,1,,,,,,web推進課,中西　彩様,t.ishida,石田貴広,,,2017/9/14,,2017/9/14,EBP13-62656.jpg
,,2,3,元画像なし,EBP16-47405,960×260_専門店p_banner_バナー_ロシア、ペトロパブロフスク,バナー_Z001476700_専門店p_banner_ロシア、ペトロパブロフスク,-1,-1,2017/9/14,2020/9/14,mukigen,2,バド制作,1,,,,,,web推進課,中西　彩様,t.ishida,石田貴広,,,2017/9/14,,2017/9/14,EBP16-47405.jpg
,,2,3,元画像なし,EBP14-74766,960×260_専門店p_banner_バナー_ロシア、エルミタージュ美術館,バナー_Z001476700_専門店p_banner_ロシア、エルミタージュ美術館,-1,-1,2017/9/14,2020/9/14,mukigen,2,バド制作,1,,,,,,web推進課,中西　彩様,t.ishida,石田貴広,,,2017/9/14,,2017/9/14,EBP14-74766.jpg
,,2,3,元画像なし,EBP16-62034,960×260_専門店p_banner_バナー_ロシア、聖ワシリー寺院,バナー_Z001476700_専門店p_banner_ロシア、聖ワシリー寺院,-1,-1,2017/9/14,2020/9/14,mukigen,2,バド制作,1,,,,,,web推進課,中西　彩様,t.ishida,石田貴広,,,2017/9/14,,2017/9/14,EBP16-62034.jpg
,,2,3,元画像なし,EBP15-51839,960×260_専門店p_banner_バナー_ロシア、エカテリーナ宮殿,バナー_Z001476700_専門店p_banner_ロシア、エカテリーナ宮殿,-1,-1,2017/9/14,2020/9/14,mukigen,2,バド制作,1,,,,,,web推進課,中西　彩様,t.ishida,石田貴広,,,2017/9/14,,2017/9/14,EBP15-51839.jpg
