ID,画像管理番号,掲載状況,登録区分,素材管理番号,BUD_PHOTO番号,被写体の名称,素材（画像）の詳細内容,撮影時期,撮影時期,掲載期間From,掲載期間To,期間,写真入手元,写真入手元　その他,掲載可能範囲,外部出稿条件付き,要クレジット,要使用許可 ,このアカウントのみ使用可,版権所有者,お客様情報　部署名,お客様情報　名前,新規者のアカント,新規者の名前,許可者のアカント,許可者の名前,許可日,備考,新規日付,画像ファイル名
181377,,2,3,元画像なし,EBP08-45765A,300×225_関西発海外クロアチア封書DM(11/12）,バナー、関西発海外、世界遺産の宝庫、クロアチア、スロベニア、11/12、尾崎亮子様、http://www.hankyu-travel.com/kansai/eur8/,-1,-1,2013/11/12,2016/11/12,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/11/12,,2014/1/10,0165_300_225.jpg
181377,,2,3,元画像なし,EBP08-45765A,640×220_関西発海外クロアチア封書DM(11/12）,バナー、関西発海外、世界遺産の宝庫、クロアチア、スロベニア、11/12、尾崎亮子様、http://www.hankyu-travel.com/kansai/eur8/,-1,-1,2013/11/12,2016/11/12,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/11/12,,2014/1/10,0165_640_220.jpg
180201,,2,3,元画像なし,ELM07-00598,640×320_関東発ニュージーランド特集バナー,ニュージーランド特集、バナー、http://www.hankyu-travel.com/tokyo2/newzealand_d/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2012/8/20,,2014/1/10,0168_640_320.jpg
180201,,2,3,元画像なし,ELM07-00598,220×165_関東発ニュージーランド特集バナー,ニュージーランド特集、バナー、http://www.hankyu-travel.com/tokyo2/newzealand_d/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2012/8/20,,2014/1/10,0168_220_165.jpg
180201,,2,3,元画像なし,ELM07-00598,300×225_関東発ニュージーランド特集バナー,ニュージーランド特集、バナー、http://www.hankyu-travel.com/tokyo2/newzealand_d/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2012/8/20,,2014/1/10,0168_300_225.jpg
180201,,2,3,元画像なし,ELM07-00598,640×220_関東発ニュージーランド特集バナー,ニュージーランド特集、バナー、http://www.hankyu-travel.com/tokyo2/newzealand_d/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2012/8/20,,2014/1/10,0168_640_220.jpg
180927,,2,3,元画像なし,EBP09-19428A.eps,640×320_大阪海外ビジネス大判DMwebページ,バナー、関西発海外、ビジネスクラス、モニターツアー、9/21発送、イタリア、スペイン、ポルトガル、モロッコ、尾崎亮子様、http://www.hankyu-travel.com/kansai/eur1/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/9/20,,2014/1/10,0172_640_320.jpg
180927,,2,3,元画像なし,EBP09-19428A.eps,220×165_大阪海外ビジネス大判DMwebページ,バナー、関西発海外、ビジネスクラス、モニターツアー、9/21発送、イタリア、スペイン、ポルトガル、モロッコ、尾崎亮子様、http://www.hankyu-travel.com/kansai/eur1/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/9/20,,2014/1/10,0172_220_165.jpg
180927,,2,3,元画像なし,EBP09-19428A.eps,300×225_大阪海外ビジネス大判DMwebページ,バナー、関西発海外、ビジネスクラス、モニターツアー、9/21発送、イタリア、スペイン、ポルトガル、モロッコ、尾崎亮子様、http://www.hankyu-travel.com/kansai/eur1/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/9/20,,2014/1/10,0172_300_225.jpg
180927,,2,3,元画像なし,EBP09-19428A.eps,640×220_大阪海外ビジネス大判DMwebページ,バナー、関西発海外、ビジネスクラス、モニターツアー、9/21発送、イタリア、スペイン、ポルトガル、モロッコ、尾崎亮子様、http://www.hankyu-travel.com/kansai/eur1/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/9/20,,2014/1/10,0172_640_220.jpg
181352,,2,3,元画像なし,,640×320_関西発海外アジア25周年DM(10/31）,バナー、関西発海外、必見!!、緊急発売、行くなら今っ！、お値打ち価格のアジア旅行!! 10/31、中岡雅美様、http://www.hankyu-travel.com/kansai/asia1/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/10/30,,2014/1/10,0175_640_320.jpg
181352,,2,3,元画像なし,,220×165_関西発海外アジア25周年DM(10/31）,バナー、関西発海外、必見!!、緊急発売、行くなら今っ！、お値打ち価格のアジア旅行!! 10/31、中岡雅美様、http://www.hankyu-travel.com/kansai/asia1/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/10/30,,2014/1/10,0175_220_165.jpg
181352,,2,3,元画像なし,,300×225_関西発海外アジア25周年DM(10/31）,バナー、関西発海外、必見!!、緊急発売、行くなら今っ！、お値打ち価格のアジア旅行!! 10/31、中岡雅美様、http://www.hankyu-travel.com/kansai/asia1/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/10/30,,2014/1/10,0175_300_225.jpg
181352,,2,3,元画像なし,,640×220_関西発海外アジア25周年DM(10/31）,バナー、関西発海外、必見!!、緊急発売、行くなら今っ！、お値打ち価格のアジア旅行!! 10/31、中岡雅美様、http://www.hankyu-travel.com/kansai/asia1/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/10/30,,2014/1/10,0175_640_220.jpg
181048,,2,3,元画像なし,,300×225_大阪海外3・4課巻き折りDM特集バナー,関西発海外、バナー、担当者おすすめ、海外の旅、秋から冬、中岡雅美様、http://www.hankyu-travel.com/kansai/dm/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/8/16,,2014/1/10,0236_300_225.jpg
181262,,2,3,元画像なし,,220×165_金マガ特集バナー,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、憧れのホテル、東京、フリープラン、7/5配信、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/7/8,,2014/1/10,0247_220_165.jpg
180980,,2,3,元画像なし,,220×165_火マガ特集バナー,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、ハイブリ、火マガ、8/28、札幌、フリープラン、札幌フリープラン、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/1/17,,2014/1/10,0248_220_165.jpg
181188,,2,3,元画像なし,,640×320_金マガ特集バナー,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、沖縄、離島、2/22配信、三宅菜摘様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/2/25,,2014/1/10,0269_640_320.jpg
181188,,2,3,元画像なし,,220×165_金マガ特集バナー,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、沖縄、離島、2/22配信、三宅菜摘様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/2/25,,2014/1/10,0269_220_165.jpg
181188,,2,3,元画像なし,,300×225_金マガ特集バナー,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、沖縄、離島、2/22配信、三宅菜摘様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/2/25,,2014/1/10,0269_300_225.jpg
181148,,2,3,元画像なし,EBL12-14638A.eps,220×165_関西発国内なばなの里特集バナー,バナー、なばなの里、イルミネーション、関西発国内、鵜川明里様、http://www.hankyu-travel.com/osa-d/nabana/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2012/9/28,,2014/1/10,0274_220_165.jpg
181148,,2,3,元画像なし,EBL12-14638A.eps,300×225_関西発国内なばなの里特集バナー,バナー、なばなの里、イルミネーション、関西発国内、鵜川明里様、http://www.hankyu-travel.com/osa-d/nabana/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2012/9/28,,2014/1/10,0274_300_225.jpg
181275,,2,3,元画像なし,,220×165_金マガ特集バナー,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、石垣、フリープラン、7/26配信、竹原菜摘様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2014/5/22,,2014/1/10,0290_220_165.jpg
181275,,2,3,元画像なし,,300×225_金マガ特集バナー,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、石垣、フリープラン、7/26配信、竹原菜摘様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2014/5/22,,2014/1/10,0290_300_225.jpg
132798,,2,3,元画像なし,ESP12-39210A,220×165_アヤナリゾート＆スパ,Z255950_東京e-very 2名様催行＜アヤナ リゾート＆スパ＞宿泊 バリ島ツアー特集、/e-very/tokyo/asian-beach/bari/hotel/ayanaresort/,-1,-1,2000/1/1,2100/1/1,mukigen,2,BUD制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2012/9/28,,2012/9/28,0389_220_165.jpg
183370,,2,3,元画像なし,EBP08-00104A,220×165_3連休イチオシプラン,バナー、3連休、連休、国内旅行、国内ツアー、全国特集,-1,-1,2014/1/22,2017/1/22,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,,,2014/1/22,0444_220_165.jpg
,,2,3,,,640×320_3連休　イチオシプラン,バナー、3連休、連休、国内旅行、国内ツアー、全国特集,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2016/2/9,,2016/2/9,0469_640_320.jpg
