ID,画像管理番号,掲載状況,登録区分,素材管理番号,BUD_PHOTO番号,被写体の名称,素材（画像）の詳細内容,撮影時期,撮影時期,掲載期間From,掲載期間To,期間,写真入手元,写真入手元その他,掲載可能範囲,外部出稿条件付き,要クレジット,要使用許可,このアカウントのみ使用可,版権所有者,お客様情報部署名,お客様情報名前,新規者のアカント,新規者の名前,許可者のアカント,許可者の名前,許可日,備考,新規日付,画像ファイル名
189329,,2,3,元画像なし,EBP07-18595A.jpg、ESP11-58248A.jpg、EBP10-31454A.jpg、ESP08-43795A.jpg,640×220_阪急スポーツ特集バナー,バナー、阪急スポーツ特集、スポーツ、スポーツ観戦、http://www.hankyu-travel.com/sports/、中岡雅美様,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2018.3.28,,2018.3.28,0003_640×220.jpg
181750,,2,3,元画像なし,ESP09-55021A，EBP07-04854A,640×320_ネット限定特集,ネット限定ツアー特集，ネット限定旅行，ネット限定ツアー，http://www.hankyu-travel.com/net/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2016.8.15,,2018.1.11,0004_640_320.jpg
181750,,2,3,元画像なし,ESP09-55021A，EBP07-04854A,220×165_ネット限定特集,ネット限定ツアー特集，ネット限定旅行，ネット限定ツアー，http://www.hankyu-travel.com/net/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2016.8.15,,2018.1.11,0004_220_165.jpg
181750,,2,3,元画像なし,ESP09-55021A，EBP07-04854A,300×225_ネット限定特集,ネット限定ツアー特集，ネット限定旅行，ネット限定ツアー，http://www.hankyu-travel.com/net/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2016.8.15,,2018.1.11,0004_300_225.jpg
181750,,2,3,元画像なし,ESP09-55021A，EBP07-04854A,210×60_ネット限定特集,ネット限定ツアー特集，ネット限定旅行，ネット限定ツアー，http://www.hankyu-travel.com/net/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2016.8.15,,2018.1.11,0004_210_60.jpg
181750,,2,3,元画像なし,ESP09-55021A，EBP07-04854A,640×220_ネット限定特集,ネット限定ツアー特集，ネット限定旅行，ネット限定ツアー，http://www.hankyu-travel.com/net/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2016.8.15,,2018.1.11,0004_640×220.jpg
181702,,2,3,元画像なし,ESP11-54165A.eps，EBP10-41941A.eps,640×320_チャーター特集用バナー,チャーター特集，チャーター，クルーズ，http://www.hankyu-travel.com/charter/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2017.4.27,,2018.1.11,0005_640_320.jpg
181702,,2,3,元画像なし,ESP11-54165A.eps，EBP10-41941A.eps,220×165_チャーター特集用バナー,チャーター特集，チャーター，クルーズ，http://www.hankyu-travel.com/charter/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2017.4.27,,2018.1.11,0005_220_165.jpg
181702,,2,3,元画像なし,ESP11-54165A.eps，EBP10-41941A.eps,300×225_チャーター特集用バナー,チャーター特集，チャーター，クルーズ，http://www.hankyu-travel.com/charter/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2017.4.27,,2018.1.11,0005_300_225.jpg
181702,,2,3,元画像なし,ESP11-54165A.eps，EBP10-41941A.eps,640×220_チャーター特集用バナー,チャーター特集，チャーター，クルーズ，http://www.hankyu-travel.com/charter/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2017.4.27,,2018.1.11,0005_640×220.jpg
218646,,2,3,元画像なし,,640×320_大感謝祭用バナー,バナー、大感謝祭、トラピックス、トラピ、89、Z327330、ttp://www.hankyu-travel.com/cm/,-1,-1,2004.1.2,2104.1.3,mukigen,2,BUD制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.2.11,,2019.2.11,0006_640_320.jpg
218646,,2,3,元画像なし,,220×165_大感謝祭用バナー,バナー、大感謝祭、トラピックス、トラピ、89、Z327330、ttp://www.hankyu-travel.com/cm/,-1,-1,2004.1.2,2104.1.3,mukigen,2,BUD制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.2.11,,2019.2.11,0006_220_165.jpg
218646,,2,3,元画像なし,,300×225_大感謝祭用バナー,バナー、大感謝祭、トラピックス、トラピ、89、Z327330、ttp://www.hankyu-travel.com/cm/,-1,-1,2004.1.2,2104.1.3,mukigen,2,BUD制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.2.11,,2019.2.11,0006_300_225.jpg
218646,,2,3,元画像なし,,210×60_大感謝祭用バナー,バナー、大感謝祭、トラピックス、トラピ、89、Z327330、ttp://www.hankyu-travel.com/cm/,-1,-1,2004.1.2,2104.1.3,mukigen,2,BUD制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.2.11,,2019.2.11,0006_210_60.jpg
218646,,2,3,元画像なし,,640×220_大感謝祭用バナー,バナー、大感謝祭、トラピックス、トラピ、89、Z327330、ttp://www.hankyu-travel.com/cm/,-1,-1,2004.1.2,2104.1.3,mukigen,2,BUD制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.2.11,,2019.2.11,0006_640×220.jpg
218730,,2,3,元画像なし,,640×320_大感謝祭_特集バナー,バナー、Z382590、海外旅行、大感謝祭、和田慎也様、http://www.hankyu-travel.com/cm/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.2.13,,2019.2.13,0007_640_320.jpg
218730,,2,3,元画像なし,,220×165_大感謝祭_特集バナー,バナー、Z382590、海外旅行、大感謝祭、和田慎也様、http://www.hankyu-travel.com/cm/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.2.13,,2019.2.13,0007_220_165.jpg
218730,,2,3,元画像なし,,300×225_大感謝祭_特集バナー,バナー、Z382590、海外旅行、大感謝祭、和田慎也様、http://www.hankyu-travel.com/cm/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.2.13,,2019.2.13,0007_300_225.jpg
218730,,2,3,元画像なし,,640×220_大感謝祭_特集バナー,バナー、Z382590、海外旅行、大感謝祭、和田慎也様、http://www.hankyu-travel.com/cm/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.2.13,,2019.2.13,0007_640×220.jpg
218729,,2,3,元画像なし,,640×320_大感謝祭_特集バナー,バナー、Z382590、国内旅行、大感謝祭、和田慎也様、http://www.hankyu-travel.com/cm/,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.2.13,,2019.2.13,0008_640_320.jpg
