ID,画像管理番号,掲載状況,登録区分,素材管理番号,BUD_PHOTO番号,被写体の名称,素材（画像）の詳細内容,撮影時期,撮影時期,掲載期間From,掲載期間To,期間,写真入手元,写真入手元　その他,掲載可能範囲,外部出稿条件付き,要クレジット,要使用許可 ,このアカウントのみ使用可,版権所有者,お客様情報　部署名,お客様情報　名前,新規者のアカント,新規者の名前,許可者のアカント,許可者の名前,許可日,備考,新規日付,画像ファイル名
195122,,2,3,元画像なし,,640×320_イチオシ！北海道フリープランバナー,バナー、北海道フリープラン、国内旅行、安田香織様、和田慎也様、梶田美佳様、関西発国内,-1,-1,2000/1/1,2100/1/1,mukigen,2,WEB販売係/西_梶田様,1,,,,,,web推進課,矢内美奈子様,b-n.yano,矢野裕一,,,2014/6/6,,2014/6/6,0115_640_320.jpg
195122,,2,3,元画像なし,,220×165_イチオシ！北海道フリープランバナー,バナー、北海道フリープラン、国内旅行、安田香織様、和田慎也様、梶田美佳様、関西発国内,-1,-1,2000/1/1,2100/1/1,mukigen,2,WEB販売係/西_梶田様,1,,,,,,web推進課,矢内美奈子様,b-n.yano,矢野裕一,,,2014/6/6,,2014/6/6,0115_220_165.jpg
195122,,2,3,元画像なし,,300×225_イチオシ！北海道フリープランバナー,バナー、北海道フリープラン、国内旅行、安田香織様、和田慎也様、梶田美佳様、関西発国内,-1,-1,2000/1/1,2100/1/1,mukigen,2,WEB販売係/西_梶田様,1,,,,,,web推進課,矢内美奈子様,b-n.yano,矢野裕一,,,2014/6/6,,2014/6/6,0115_300_225.jpg
195122,,2,3,元画像なし,,210×60_イチオシ！北海道フリープランバナー,バナー、北海道フリープラン、国内旅行、安田香織様、和田慎也様、梶田美佳様、関西発国内,-1,-1,2000/1/1,2100/1/1,mukigen,2,WEB販売係/西_梶田様,1,,,,,,web推進課,矢内美奈子様,b-n.yano,矢野裕一,,,2014/6/6,,2014/6/6,0115_210_60.jpg
195122,,2,3,元画像なし,,640×220_イチオシ！北海道フリープランバナー,バナー、北海道フリープラン、国内旅行、安田香織様、和田慎也様、梶田美佳様、関西発国内,-1,-1,2000/1/1,2100/1/1,mukigen,2,WEB販売係/西_梶田様,1,,,,,,web推進課,矢内美奈子様,b-n.yano,矢野裕一,,,2014/6/6,,2014/6/6,0115_640_220.jpg
180993,,2,3,元画像なし,,640×320_金マガ特集バナー,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、名湯満喫、フリープラン、露天風呂。温泉、11/2配信、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web推進課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/1/17,,2014/1/10,0121_640_320.jpg
180993,,2,3,元画像なし,,220×165_金マガ特集バナー,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、名湯満喫、フリープラン、露天風呂。温泉、11/2配信、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web推進課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/1/17,,2014/1/10,0121_220_165.jpg
180993,,2,3,元画像なし,,300×225_金マガ特集バナー,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、名湯満喫、フリープラン、露天風呂。温泉、11/2配信、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web推進課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/1/17,,2014/1/10,0121_300_225.jpg
180993,,2,3,元画像なし,,210×60_金マガ特集バナー,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、名湯満喫、フリープラン、露天風呂。温泉、11/2配信、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web推進課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/1/17,,2014/1/10,0121_210_60.jpg
180993,,2,3,元画像なし,,640×220_金マガ特集バナー,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、名湯満喫、フリープラン、露天風呂。温泉、11/2配信、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web推進課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/1/17,,2014/1/10,0121_640_220.jpg
