"ID","画像管理番号","掲載状況","登録区分","素材管理番号","BUD_PHOTO番号","被写体の名称","素材（画像）の詳細内容","撮影時期","撮影時期","掲載期間From","掲載期間To","期間","写真入手元","写真入手元　その他","掲載可能範囲","外部出稿条件付き","要クレジット","要使用許可 ","このアカウントのみ使用可","版権所有者","お客様情報　部署名","お客様情報　名前","新規者のアカント","新規者の名前","許可者のアカント","許可者の名前","許可日","備考","新規日付","画像ファイル名"
"","","2","3","元画像なし","","map_10_E764AZ_コースマップ","マップ、バナー、E764AZ、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=E764AZ&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_E764AZ.png"
"","","2","3","元画像なし","","map_10_E801T_コースマップ","マップ、バナー、E801T、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=E801T&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_E801T.jpg"
"","","2","3","元画像なし","","map_10_E919Y_コースマップ","マップ、バナー、E919Y、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=E919Y&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_E919Y.png"
"","","2","3","元画像なし","","map_10_E948M_コースマップ","マップ、バナー、E948M、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=E948M&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_E948M.jpg"
"","","2","3","元画像なし","","map_10_ET255NW_コースマップ","マップ、バナー、ET255NW、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=ET255NW&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_ET255NW.png"
"","","2","3","元画像なし","","map_10_ET302S_コースマップ","マップ、バナー、ET302S、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=ET302S&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_ET302S.jpg"
"","","2","3","元画像なし","","map_10_ET317Y_コースマップ","マップ、バナー、ET317Y、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=ET317Y&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_ET317Y.png"
"","","2","3","元画像なし","","map_10_ET318LO_コースマップ","マップ、バナー、ET318LO、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=ET318LO&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_ET318LO.jpg"
"","","2","3","元画像なし","","map_10_ET324Y_コースマップ","マップ、バナー、ET324Y、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=ET324Y&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_ET324Y.jpg"
"","","2","3","元画像なし","","map_10_ET329Y_コースマップ","マップ、バナー、ET329Y、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=ET329Y&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_ET329Y.png"
"","","2","3","元画像なし","","map_10_ET343A_コースマップ","マップ、バナー、ET343A、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=ET343A&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_ET343A.png"
