更新フラグ（A：新規、U：更新、D：論理削除）	BUD_PHOTO番号	カテゴリ	掲載期間(使用可能終了日)	方面ID(国内海外)	都道府県(国名県名)	地名ID(地名)	撮影時期(撮影月)	内容(写真キーワード)	写真名	写真入手元	元画像管理番号	付加条件：クレジット(要クレジット)	お客様部署とお客様名(担当部署)	担当氏名	使用範囲(他の制作会社への貸出が)	備考(その他のコメント)	自動延期	制限付き(0：公開否  1：公開)
A	BP17-029548D.jpg		2026/9/22 0:00		カナダ		0	"風景,夕景,秋,紅葉,海外"	ナイアガラフォールズ 秋 紅葉　夕日	iStock	171587080		BUD		きませ	DS許可済	1	1
A	BP19-036793D.jpg		2026/9/22 0:00		カナダ	バンフ国立公園	0	"風景,秋,紅葉,海外"	レイクルイーズ　ルイーズ湖　紅葉　黄葉	123RF	109504539		BUD		きませ	DS許可済	1	1
A	BP19-048315D.jpg		2026/9/22 0:00		カナダ	ナイアガラ	0	"風景,秋,紅葉,海外"	ナイアガラの滝　紅葉　秋　空撮	AdobeStock	95438921		BUD		きませ	DS許可済	1	1
A	BP19-048316D.jpg		2026/9/22 0:00		カナダ	バンフ国立公園	0	"風景,秋,海外,レイク・ルイーズ,ルイーズ湖,バンフ国立公園"	レイクルイーズ　秋	123RF	49249120		BUD		きませ	DS許可済	1	1
A	BP19-129832D.jpg		2026/9/22 0:00		カナダ	バンフ	0	"宿泊施設,外観,海外,ザ・フェアモント・バンフ・スプリングス,ザ フェアモント バンフ スプリングス ホテル,ザフェアモントバンフスプリングスホテル,ザ・フェアモント・バンフ・スプリングス・ホテル"	ザフェアモントバンフスプリングス 外観 ゴルフ場	iStock	172259718		BUD		きませ	DS許可済	1	1
A	EBP10-06958D.jpg		2026/9/22 0:00		カナダ	アルバータ			ボウ滝　ボウ川　バンフ国立公園	fotolia	4731382		BUD		きませ	DS許可済	1	0
A	EBP10-24012D.jpg		2026/9/22 0:00		カナダ	バンフ			カスケードガーデンから見たカスケード山 カナディアンロッキー	photolibrary	287304		BUD		きませ	フォトライブラリー無料素材の為、新聞広告も可です。 フォトライブラリー購入素材の場合はバド所有画像となる為、新聞広告不可になります。DS許可済	0	0
