Target campaign	Target ad group	title1(text)	tour_price(text)	Target location	出発地(text)	Target location restriction	URL
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Hiroshima, Japan	広島発	Physical location	https://www.hankyu-travel.com/korea/hij.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Yamaguchi, Japan	山口発	Physical location	https://www.hankyu-travel.com/korea/ubj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Kagawa, Japan	香川・徳島発	Physical location	https://www.hankyu-travel.com/korea/tak.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Tokushima, Japan	香川・徳島発	Physical location	https://www.hankyu-travel.com/korea/tak.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Ehime, Japan	松山発	Physical location	https://www.hankyu-travel.com/korea/myj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Kochi, Japan	高知発	Physical location	https://www.hankyu-travel.com/korea/kcz.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Fukuoka, Japan	福岡発	Physical location	https://www.hankyu-travel.com/korea/fuk.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Saga, Japan	福岡発	Physical location	https://www.hankyu-travel.com/korea/fuk.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Nagasaki, Japan	長崎発	Physical location	https://www.hankyu-travel.com/korea/ngs.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Kumamoto, Japan	熊本発	Physical location	https://www.hankyu-travel.com/korea/kmj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Oita, Japan	大分発	Physical location	https://www.hankyu-travel.com/korea/oit.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Miyazaki, Japan	宮崎発	Physical location	https://www.hankyu-travel.com/korea/kmi.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Kagoshima, Japan	鹿児島発	Physical location	https://www.hankyu-travel.com/korea/koj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Okinawa, Japan	沖縄発	Physical location	https://www.hankyu-travel.com/korea/oka.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Hokkaido, Japan	北海道発	Physical location	https://www.hankyu-travel.com/korea/seoul/spk.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Aomori, Japan	青森発	Physical location	https://www.hankyu-travel.com/korea/seoul/aoj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Akita, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/seoul/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Iwate, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/seoul/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Miyagi, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/seoul/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Yamagata, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/seoul/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Fukushima, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/seoul/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Tokyo, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/seoul/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Saitama, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/seoul/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Kanagawa, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/seoul/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Chiba, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/seoul/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Ibaraki, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/seoul/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Tochigi, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/seoul/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Gunma, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/seoul/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Yamanashi, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/seoul/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Niigata, Japan	新潟発	Physical location	https://www.hankyu-travel.com/korea/seoul/kij.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Nagano, Japan	長野発	Physical location	https://www.hankyu-travel.com/korea/seoul/mmj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Toyama, Japan	北陸発	Physical location	https://www.hankyu-travel.com/korea/seoul/hkr.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Ishikawa, Japan	北陸発	Physical location	https://www.hankyu-travel.com/korea/seoul/hkr.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Fukui, Japan	北陸発	Physical location	https://www.hankyu-travel.com/korea/seoul/hkr.php
