Target campaign	Target ad group	Target keyword text	Target keyword match type	title1(text)	tour_price(text)	Target location	出発地(text)	元URL
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 旅行 安い	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 旅行 安い	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	北海道発 台北 旅行	完全一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	北海道発 台北 ツアー	完全一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	+台北 +旅行	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	+台北 +ツアー	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	+北海道 +台北 +旅行	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	+北海道 +台北 +ツアー	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	高雄 旅行	部分一致	高雄	6.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/kaohsiung/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	高雄 ツアー	部分一致	高雄	6.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/kaohsiung/spk.php
