"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath"
"ET316LS","1","10","EUR","お一人様参加限定【カタール航空利用】マケドニア・アルバニア・コソボ　７日間","120703","3373","00154-webbn-18665.jpg","00000-SP12_-34890.jpg","00154-webbn-18667.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1_00047-BP10--00007.jpg","1_00000-SP15_-26117.jpg","","",""
"7S700E","0","20","KNK","【瑞浪・土岐・多治見発着】丹波松茸料理と日本最古の天神参り　日帰り","110988","1748","00310-SP17--00411.jpg","00310-SP17--00410.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","00310-SP17--00411.jpg","","00310-SP17--00410.jpg","","","","","","","","","","","","","","1_00000-BP17_-04603.jpg","","","","","","","",""
"YR701CA","1","80","CHI","≪新千歳発着≫ＷＥ　ＬＯＶＥ！中国ゴールデンルート７日間","083612","3630","00000-BP15_-07514.jpg","00379-webbn-18713.jpg","00042-EBP09-10359.jpg","00000-BP16_-08417.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","00056-ESP12-00013.jpg","","","","","","","","","","","","","","","","4_00000-EBP07-00399.jpg、5_00447-webph-00793.jpg","2_00000-BP14_-03048.jpg、3_00021-EBP09-04815.jpg、4_00379-webbn-18715.jpg、6_00056-EBP09-10429.jpg","4_00000-BP14_-02166.jpg、6_00000-SP13_-01586.jpg","","","","4_00000-EBP07-00588.jpg、7_00447-webph-00793.jpg","4_00000-BP16_-03441.jpg、7_00310-SP16--00478.jpg","4_00001-webph-01196.jpg、7_00140-webph-01771.jpg"
"EN1276C","1","20","EUR","〈ｷｬｾｲﾊﾟｼﾌｨｯｸ航空ﾋﾞｼﾞﾈｽｸﾗｽ利用〉ドイツで休日を6日間","081464","1760","00000-SP16_-34291.jpg","00000-BP15_-01198.jpg","00000-BP16_-04098.jpg","00000-BP16_-00725.jpg","00000-SP16_-29077.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZ3256B","0","10","KNK","羽田発 【関西2空港×フライト時間帯が選べる！】ホテルプラザオーサカ(2名1室セミダブルプラン)大阪3日間","130712","3161","00000-ALLUP-100468.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TF732C","1","60","TWN","【タイムセール！】３本限定！キャンペーン台湾４日間","130201","2578","00174-SP11--00193.jpg","00000-ALLUP-101829.jpg","00028-EBP09-04623.jpg","00709-BP13-00012.jpg","00003-EBP09-01407.jpg","00174-SP11--00193.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TF732D","1","60","TWN","【タイムセール！】３本限定！キャンペーン台湾４日間（満喫プラン）","130201","2578","00000-EBP15-00034.jpg","00000-ALLUP-87262.jpg","00000-ALLUP-101829.jpg","00174-SP11--00193.jpg","00028-EBP09-04623.jpg","00709-BP13-00012.jpg","00003-EBP09-01407.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2_00000-ALLUP-87262.jpg、3_00709-BP13-00012.jpg","2_00709-SP17-00548.jpg、3_00000-BP16_-05671.jpg","","","","","","",""
"DZ3256A","0","10","KNK","羽田発 【関西2空港×フライト時間帯が選べる！】ホテルプラザオーサカ(2名1室セミダブルプラン)大阪2日間","130712","3161","00000-ALLUP-100468.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3374KG","0","50","KAN","【高松空港発着】二度目の世界遺産富士山と伊豆半島・箱根ぐるっと周遊３日間","900969","6080","00000-BP17_-04591.jpg","00000-BP14_-02847.jpg","00000-BP15_-06021.jpg","00310-BL12--00019.jpg","00000-AM16_-01075.jpg","00000-SP15_-31894.jpg","00000-SP16_-24812.jpg","","","","","","","00000-ALLUP-76000.jpg","00000-ALLUP-76001.jpg","","00000-ALLUP-101585.jpg","00000-ALLUP-101587.jpg","00000-ALLUP-101584.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1_00000-EBP08-02718.jpg、2_00000-BP12_-01677.jpg、3_00000-SP13_-16714.jpg","1_00000-BP14_-02847.jpg、2_00310-BL12--00019.jpg、3_00000-AM16_-01075.jpg","2_00000-BP17_-04591.jpg、3_00000-SP15_-31894.jpg","","","","","",""
"9D878A3","0","70","OKA","【仙台発着/レンタカー＆ガソリン満タン返し不要付】 沖縄3日間","124898","1120","00000-BP14_-03319.jpg","00000-ALLUP-65598.jpg","00000-ALLUP-59114.jpg","00000-ALLUP-88827.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
