"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath"
"2319J","0","80","KAN","【新千歳空港発着/往復JALで行く！】京成ホテルミラマーレ　千葉フリープラン３日間","081103","3630","00000-ALLUP-08629.jpg","00000-ALLUP-65421.jpg","00000-ALLUP-65419.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUA5T86","1","20","USA","＜3ﾃﾞｰﾊﾟｰｸﾎｯﾊﾟｰﾊﾟｽ付＞中部発着｜ｴｱ･ｶﾅﾀﾞ ﾙｰｼﾞｭ利用♪ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾘｿﾞｰﾄ6日間≪ｽｰﾊﾟｰ8指定≫","040163","1760","00000-ALLUP-95827.jpg","00000-ALLUP-95825.jpg","00000-ALLUP-95823.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XX642","1","41","SEA","[O/U]【岡山駅西口発着】黄金に輝くｺﾞｰﾙﾃﾞﾝﾛｯｸとﾔﾝｺﾞﾝ・ﾊﾞｺﾞｰ　5日間","100674","6090","00000-BP16_-04989.jpg","00000-BP16_-04985.jpg","00000-BP16_-04988.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1_00000-BP17_-00909.jpg、2_00000-BP15_-07037.jpg、3_00000-BP15_-03939.jpg、4_00000-BP16_-04985.jpg","2_00000-BP17_-00874.jpg、3_00000-BP16_-04388.jpg、4_00000-BP16_-04387.jpg","2_00000-BP15_-04287.jpg、4_00000-BP17_-00866.jpg","","","","","",""
"QUA5T87","1","20","USA","＜4ﾃﾞｰﾊﾟｰｸﾎｯﾊﾟｰﾊﾟｽ付＞中部発着｜ｴｱ･ｶﾅﾀﾞ ﾙｰｼﾞｭ利用♪ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾘｿﾞｰﾄ7日間≪ｽｰﾊﾟｰ8指定≫","040163","1760","00000-ALLUP-95823.jpg","00000-ALLUP-95825.jpg","00000-ALLUP-95827.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"QUA5TQ5","1","20","USA","＜2ﾃﾞｰﾊﾟｰｸﾎｯﾊﾟｰﾊﾟｽ付＞中部発着｜ｴｱ･ｶﾅﾀﾞ ﾙｰｼﾞｭ利用♪ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾘｿﾞｰﾄ5日間≪ｸｵﾘﾃｨ ｲﾝ指定≫","040163","1760","00000-ALLUP-95811.jpg","00000-ALLUP-95812.jpg","00000-ALLUP-95807.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"FUJEGG5","1","31","USA","≪2ﾃﾞｰﾊﾟｰｸﾎｯﾊﾟｰﾊﾟｽ＆現地往復送迎付≫大阪発着・羽田便ｴｱｶﾅﾀﾞ利用｜ｵｰﾗﾝﾄﾞ5日間＜ﾃﾞｨｽﾞﾆｰｱｰﾄｵﾌﾞｱﾆﾒｰｼｮﾝ＞","050994","5237","00174-NR_Z3-00044.jpg","00174-NR_Z3-00008.jpg","00174-NR_Z3-00043.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"FUJEGG6","1","31","USA","≪3ﾃﾞｰﾊﾟｰｸﾎｯﾊﾟｰﾊﾟｽ＆現地往復送迎付≫大阪発着・羽田便ｴｱｶﾅﾀﾞ利用｜ｵｰﾗﾝﾄﾞ6日間＜ﾃﾞｨｽﾞﾆｰｱｰﾄｵﾌﾞｱﾆﾒｰｼｮﾝ＞","050994","5237","00174-NR_Z3-00044.jpg","00174-NR_Z3-00008.jpg","00174-NR_Z3-00043.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"596AOS2","0","64","KNK","ＷＥＢ限定【大分】＜アークホテル大阪心斎橋＞に泊まる★関西2日間","930574","2565","00000-ALLUP-17878.jpg","00000-ALLUP-45962.jpg","00000-ALLUP-45963.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"596AOS3","0","64","KNK","ＷＥＢ限定【大分】＜アークホテル大阪心斎橋＞に泊まる★関西3日間","930574","2565","00000-ALLUP-17878.jpg","00000-ALLUP-45962.jpg","00000-ALLUP-45963.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FEE341R","1","31","EUR","【燃油込】関空深夜発 | ｴﾐﾚｰﾂ航空利用！ﾄﾞｲﾂ車窓めぐり ﾌﾗﾝｸﾌﾙﾄ＆ﾐｭﾝﾍﾝ7日間＜ｽｰﾍﾟﾘｱｸﾗｽﾎﾃﾙ利用＞","932166","5237","00174-BP13--00008.jpg","00174-BP09--00027.jpg","00174-SP13--00183.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"QUA5TQ6","1","20","USA","＜3ﾃﾞｰﾊﾟｰｸﾎｯﾊﾟｰﾊﾟｽ付＞中部発着｜ｴｱ･ｶﾅﾀﾞ ﾙｰｼﾞｭ利用♪ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾘｿﾞｰﾄ6日間≪ｸｵﾘﾃｨ ｲﾝ指定≫","040163","1760","00000-ALLUP-95812.jpg","00000-ALLUP-95811.jpg","00000-ALLUP-95807.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
