"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath"
"WSR294B","0","10","TOK","＜ﾚﾝﾀｶｰ付＞東海道新幹線のぞみ号利用(名古屋乗下車) 列車時間帯が選べる！ﾎﾃﾙ ｱﾙﾃｨｱ鳥羽　ﾌﾘｰﾌﾟﾗﾝ 3日間","100757","3161","00000-ALLUP-64492.jpg","00000-ALLUP-64193.jpg","00000-ALLUP-80990.jpg","00000-ALLUP-80989.jpg","00000-ALLUP-20854.jpg","00000-ALLUP-20859.jpg","00000-ALLUP-64195.jpg","00000-ALLUP-20856.jpg","00000-ALLUP-20847.jpg","00000-ALLUP-20848.jpg","","","","00000-ALLUP-20863.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WSR294A","0","10","TOK","＜ﾚﾝﾀｶｰ付＞東海道新幹線のぞみ号利用(名古屋乗下車) 列車時間帯が選べる！ﾎﾃﾙ ｱﾙﾃｨｱ鳥羽　ﾌﾘｰﾌﾟﾗﾝ 2日間","100757","3161","00000-ALLUP-64492.jpg","00000-ALLUP-64193.jpg","00000-ALLUP-80990.jpg","00000-ALLUP-80989.jpg","00000-ALLUP-20854.jpg","00000-ALLUP-20859.jpg","00000-ALLUP-64195.jpg","00000-ALLUP-20856.jpg","00000-ALLUP-20847.jpg","00000-ALLUP-20848.jpg","","","","00000-ALLUP-20863.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NF265B1","1","60","HNK","2名様から催行！選べる香港４日間（3日目マカオ日帰り観光・基本ホテルプラン）","130201","2578","00000-ALLUP-07468.jpg","00000-BP15_-05314.jpg","00000-ALLUP-61760.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"3F7004A","0","40","KAN","【広島空港発着】自然湧出量日本一！日本一の名湯草津温泉湯ったり3連泊4日間","140387","6120","00000-ALLUP-102436.jpg","00000-ALLUP-57573.jpg","00000-ALLUP-73188.jpg","00000-ALLUP-104280.jpg","00000-ALLUP-102447.jpg","00000-ALLUP-102435.jpg","00000-ALLUP-102425.jpg","00000-ALLUP-102437.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1_00000-BP16_-09384.jpg","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"NF265B2","1","60","HNK","2名様から催行！選べる香港４日間（3日目マカオ日帰り観光・ランクアップホテルプラン）","130201","2578","00000-ALLUP-07468.jpg","00000-BP15_-05314.jpg","00000-ALLUP-61760.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9JR28D6","0","30","TOK","【近鉄ﾌﾟﾗﾝ】＜大阪発往路しまかぜ利用＞三重・鳥羽相差温泉　浜の雅亭一井で寛ぐ２日間","920937","4113","00000-SP14_-25381.jpg","00000-SP14_-25380.jpg","00056-ALLUP-22185.jpg","00000-SP14_-25391.jpg","00000-SP14_-25393.jpg","00000-SP11_-10115.jpg","00000-ALLUP-47056.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1_00000-SP14_-25389.jpg","1_00056-ALLUP-22186.jpg","","",""
"9JR28D7","0","30","TOK","【近鉄ﾌﾟﾗﾝ】＜大阪発復路しまかぜ利用＞三重・鳥羽相差温泉　浜の雅亭一井で寛ぐ２日間","920937","4113","00000-ALLUP-62315.jpg","00000-ALLUP-62314.jpg","00000-SP14_-25389.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"2790A","0","80","OKA","【旭川空港発着】八重山大感謝祭４日間","020078","3630","00021-EBP09-06797.jpg","00000-BL13_-00040.jpg","00021-EBP09-10332.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92U541B","1","12","EUR","羽田発｜ﾌﾞﾘﾃｨｯｼｭ・ｴｱｳｪｲｽﾞ｜ﾌﾟﾚﾐｱﾑｴｺﾉﾐｰｸﾗｽ直行便利用！ﾛﾝﾄﾞﾝ5日間≪大英博物館周辺ｽｰﾍﾟﾘｱｸﾗｽﾎﾃﾙ泊≫","130217","5202","00000-BP14_-00649.jpg","00022-EBP09-02754.jpg","00000-SP11_-06228.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2790B","0","80","OKA","【とかち帯広空港発着】八重山大感謝祭４日間","020078","3630","00021-EBP09-06797.jpg","00000-BL13_-00040.jpg","00021-EBP09-10332.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2790H","0","80","OKA","【函館空港発着】八重山大感謝祭４日間","020078","3630","00021-EBP09-06797.jpg","00000-BL13_-00040.jpg","00021-EBP09-10332.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93S555D","1","12","SIN","羽田夕刻発/現地午後発｜ｼﾝｶﾞﾎﾟｰﾙ航空利用 ｼﾝｶﾞﾎﾟｰﾙ4泊5日間＜ﾏﾝﾀﾞﾘﾝ･ｵｰﾁｬｰﾄﾞ滞在＞","091223","5202","00000-ALLUP-07975.jpg","00000-ALLUP-46792.jpg","00000-ALLUP-65829.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93S555E","1","12","SIN","羽田夕刻発/現地午後発｜ｼﾝｶﾞﾎﾟｰﾙ航空利用 ｼﾝｶﾞﾎﾟｰﾙ4泊5日間＜地下鉄駅徒歩圏内！ｺﾝｺﾙﾄﾞﾎﾃﾙ滞在＞","091223","5202","00000-ALLUP-45604.jpg","00000-ALLUP-45601.jpg","00174-HP09--00004.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
