"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath","p_country_name","p_city_name","p_brand_name"
"93T4208","1","12","TWN","≪送迎付き≫成田午後発/夕刻帰着★ｷｬｾｲﾊﾟｼﾌｨｯｸ航空利用│台北4日間＜中山ｴﾘｱ│國賓（ｱﾝﾊﾞｻﾀﾞｰ）泊＞","140143","5202","00000-ALLUP-17968.jpg","00000-ALLUP-43024.jpg","00000-EBP07-00078.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","台北","e-very"
"93T4209","1","12","TWN","≪送迎付き≫成田午後発/夕刻帰着★ｷｬｾｲﾊﾟｼﾌｨｯｸ航空利用│台北4日間＜善道寺駅ｴﾘｱ│和逸忠孝館（COZZI）＞","140143","5202","00000-ALLUP-72603.jpg","00000-ALLUP-72609.jpg","00000-ALLUP-72602.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","台北","e-very"
"93T3205","1","12","TWN","≪送迎付き≫成田午後発/夕刻帰着★ｷｬｾｲﾊﾟｼﾌｨｯｸ航空利用│台北3日間＜ﾛｲﾔﾙｼｰｽﾞﾝｽﾞ泊＞","140143","5202","00054-ALLUP-102469.jpg","00000-BP17_-05637.jpg","00709-BP15-00038.jpg","00174-SP11--00193.jpg","00133-BP16-00053.jpg","00000-ALLUP-101787.jpg","00003-EBP09-01406.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","台北","e-very"
"93T4211","1","12","TWN","≪観光付き≫成田午後発/夕刻帰着★ｷｬｾｲﾊﾟｼﾌｨｯｸ航空利用│満喫！烏来・九フンと台北4日間","140143","5202","00000-BP12_-01512.jpg","00000-ALLUP-67372.jpg","00174-SP11--00193.jpg","00000-BP13_-00529.jpg","00000-SP15_-13077.jpg","00709-BP15-00038.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","九フン、台北、烏来(ウーライ)","e-very"
"93T3207","1","12","TWN","≪送迎付き≫成田午後発/夕刻帰着★ｷｬｾｲﾊﾟｼﾌｨｯｸ航空利用│台北3日間＜松江南京駅ｴﾘｱ│六福客棧（ﾚｵﾌｰ）泊＞","140143","5202","00000-ALLUP-100052.jpg","00000-ALLUP-108303.jpg","00000-BP17_-05637.jpg","00000-ALLUP-101787.jpg","00000-BP17_-06317.jpg","00174-SP11--00193.jpg","00133-BP16-00053.jpg","00709-BP15-00038.jpg","00003-EBP09-01406.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","台北","e-very"
"93T5200","1","12","TWN","≪送迎付き≫成田午後発/夕刻帰着★ｷｬｾｲﾊﾟｼﾌｨｯｸ航空利用│台北5日間＜大橋頭駅ｴﾘｱ│台北城（ｼﾃｨ）ﾎﾃﾙ泊＞","140143","5202","00000-ALLUP-83301.jpg","00000-ALLUP-83267.jpg","00000-ALLUP-83271.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","台北","e-very"
"93T4300","1","12","TWN","≪送迎付き≫成田昼発/午前帰着★スクート利用│台北フリー4日間＜大橋頭駅ｴﾘｱ│台北城（ｼﾃｨ）ﾎﾃﾙ泊＞","140143","5202","00000-ALLUP-83301.jpg","00000-ALLUP-83267.jpg","00000-ALLUP-83271.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","台北","e-very"
"103KK1B","0","10","HKD","【釧路泊】まる得！釧路フリープラン３日間","101118","3148","00000-ALLUP-73461.jpg","00000-ALLUP-119104.jpg","00000-AM17_-00933.jpg","00000-SP13_-19607.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","北海道","釧路・釧路湿原","トラピックス"
"93T3208","1","12","TWN","≪送迎付き≫成田午後発/夕刻帰着★ｷｬｾｲﾊﾟｼﾌｨｯｸ航空利用│台北3日間＜中山ｴﾘｱ│国賓(ｱﾝﾊﾞｻﾀﾞｰ)泊＞","140143","5202","00000-ALLUP-17968.jpg","00000-ALLUP-43024.jpg","00000-EBP07-00078.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","台北","e-very"
"93T3209","1","12","TWN","≪送迎付き≫成田午後発/夕刻帰着★ｷｬｾｲﾊﾟｼﾌｨｯｸ航空利用│台北3日間＜善道寺駅ｴﾘｱ│和逸忠孝館（COZZI）＞","140143","5202","00000-ALLUP-72603.jpg","00000-ALLUP-72609.jpg","00000-ALLUP-72602.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","台北","e-very"
