"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath"
"9U7AYUB","1","12","USA","＜航空券+ﾎﾃﾙ♪＞成田発｜直行便で行く★ﾆｭｰﾖｰｸ･ﾌﾘｰ7日間≪ｴｼﾞｿﾝ・ﾎﾃﾙ・ﾀｲﾑｽﾞｽｸｴｱ指定≫","140260","5202","00000-ALLUP-59439.jpg","00000-ALLUP-59447.jpg","00000-ALLUP-59449.jpg","00000-BP15_-03382.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U5AYAB","1","12","USA","＜航空券+ﾎﾃﾙ♪＞成田発｜直行便★ﾆｭｰﾖｰｸ･ﾌﾘｰ5日間≪ﾍﾟﾝｼﾙﾊﾞﾆｱ指定｜5番街まで約500m≫","140260","5202","00000-ALLUP-59514.jpg","00000-ALLUP-59515.jpg","00000-ALLUP-59520.jpg","00000-BP15_-03382.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U6AYAB","1","12","USA","＜航空券+ﾎﾃﾙ♪＞成田発｜直行便★ﾆｭｰﾖｰｸ･ﾌﾘｰ6日間≪ﾍﾟﾝｼﾙﾊﾞﾆｱ指定｜5番街まで約500m≫","140260","5202","00000-ALLUP-59514.jpg","00000-ALLUP-59515.jpg","00000-ALLUP-59520.jpg","00000-BP15_-03382.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U7AYAB","1","12","USA","＜航空券+ﾎﾃﾙ♪＞成田発｜直行便★ﾆｭｰﾖｰｸ･ﾌﾘｰ7日間≪ﾍﾟﾝｼﾙﾊﾞﾆｱ指定｜5番街まで約500m≫","140260","5202","00000-ALLUP-59514.jpg","00000-ALLUP-59515.jpg","00000-ALLUP-59520.jpg","00000-BP15_-03382.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U5AYGB","1","12","USA","＜航空券+ﾎﾃﾙ♪＞成田発｜直行便で行く★ﾆｭｰﾖｰｸ･ﾌﾘｰ5日間≪ｸﾞﾗﾝﾄﾞ・ﾊｲｱｯﾄ･ﾆｭｰﾖｰｸ指定≫","140260","5202","00000-ALLUP-39282.jpg","00000-ALLUP-39283.jpg","00000-ALLUP-39285.jpg","00000-BP15_-03382.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U6AYGB","1","12","USA","＜航空券+ﾎﾃﾙ♪＞成田発｜直行便で行く★ﾆｭｰﾖｰｸ･ﾌﾘｰ6日間≪ｸﾞﾗﾝﾄﾞ・ﾊｲｱｯﾄ･ﾆｭｰﾖｰｸ指定≫","140260","5202","00000-ALLUP-39282.jpg","00000-ALLUP-39283.jpg","00000-ALLUP-39285.jpg","00000-BP15_-03382.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U7AYGB","1","12","USA","＜航空券+ﾎﾃﾙ♪＞成田発｜直行便で行く★ﾆｭｰﾖｰｸ･ﾌﾘｰ7日間≪ｸﾞﾗﾝﾄﾞ・ﾊｲｱｯﾄ･ﾆｭｰﾖｰｸ指定≫","140260","5202","00000-ALLUP-39282.jpg","00000-ALLUP-39283.jpg","00000-ALLUP-39285.jpg","00000-BP15_-03382.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U5AYKB","1","12","USA","＜航空券+ﾎﾃﾙ♪＞成田発｜直行便で行く★ﾆｭｰﾖｰｸ･ﾌﾘｰ5日間≪ｻﾞ・ｷﾀﾉ・ﾆｭｰﾖｰｸ指定≫","140260","5202","00000-ALLUP-59460.jpg","00000-ALLUP-59459.jpg","00000-ALLUP-59453.jpg","00000-BP15_-03382.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U6AYKB","1","12","USA","＜航空券+ﾎﾃﾙ♪＞成田発｜直行便で行く★ﾆｭｰﾖｰｸ･ﾌﾘｰ6日間≪ｻﾞ・ｷﾀﾉ・ﾆｭｰﾖｰｸ指定≫","140260","5202","00000-ALLUP-59460.jpg","00000-ALLUP-59459.jpg","00000-ALLUP-59453.jpg","00000-BP15_-03382.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U7AYKB","1","12","USA","＜航空券+ﾎﾃﾙ♪＞成田発｜直行便で行く★ﾆｭｰﾖｰｸ･ﾌﾘｰ7日間≪ｻﾞ・ｷﾀﾉ・ﾆｭｰﾖｰｸ指定≫","140260","5202","00000-ALLUP-59460.jpg","00000-ALLUP-59459.jpg","00000-ALLUP-59453.jpg","00000-BP15_-03382.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
