p_dest_name,p_dest_code,p_country_name,p_country_code,p_city_name,url,cms_link
アジア,AAS,ネパール,NP,,https://www.hankyu-travel.com/nepal/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,スリランカ,LK,,https://www.hankyu-travel.com/srilanka/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,モルディブ,MV,,https://www.hankyu-travel.com/maldives/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,ミャンマー,MM,,https://www.hankyu-travel.com/myanmar/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,ラオス,LA,,https://www.hankyu-travel.com/laos/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
ヨーロッパ,BEU,,,,https://www.hankyu-travel.com/europe/,
ヨーロッパ,BEU,フランス,FR,,https://www.hankyu-travel.com/france/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,フランス,FR,パリ,https://www.hankyu-travel.com/france/paris/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,フランス,FR,モンサンミッシェル,https://www.hankyu-travel.com/france/montstmichel/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,フランス,FR,ロワール,https://www.hankyu-travel.com/france/loire/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,フランス,FR,ニース,https://www.hankyu-travel.com/france/nice/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,フランス,FR,プロヴァンス,https://www.hankyu-travel.com/france/provence/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イギリス,GB,,https://www.hankyu-travel.com/uk/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イギリス,GB,ロンドン,https://www.hankyu-travel.com/uk/london/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イギリス,GB,湖水地方,https://www.hankyu-travel.com/uk/lakedistrict/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イギリス,GB,コッツウォルズ,https://www.hankyu-travel.com/uk/cotswolds/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イギリス,GB,エジンバラ,https://www.hankyu-travel.com/uk/edinburgh/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イタリア,IT,,https://www.hankyu-travel.com/italy/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イタリア,IT,ローマ,https://www.hankyu-travel.com/italy/roma/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イタリア,IT,ベネチア,https://www.hankyu-travel.com/italy/venezia/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イタリア,IT,ミラノ,https://www.hankyu-travel.com/italy/milano/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イタリア,IT,フィレンツェ,https://www.hankyu-travel.com/italy/firenze/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イタリア,IT,ナポリ,https://www.hankyu-travel.com/italy/napoli/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イタリア,IT,カプリ島,https://www.hankyu-travel.com/italy/capri/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イタリア,IT,アルベロベッロ,https://www.hankyu-travel.com/italy/alberobello/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イタリア,IT,アマルフィ,https://www.hankyu-travel.com/italy/amalfi/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イタリア,IT,ピサ,https://www.hankyu-travel.com/italy/pisa/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イタリア,IT,シチリア島,https://www.hankyu-travel.com/italy/sicilia/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,イタリア,IT,マテーラ,https://www.hankyu-travel.com/italy/matera/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,アイルランド,IE,,https://www.hankyu-travel.com/ireland/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,ドイツ,DE,,https://www.hankyu-travel.com/germany/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,ドイツ,DE,ローテンブルク,https://www.hankyu-travel.com/germany/rothenburg/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,ドイツ,DE,フランクフルト,https://www.hankyu-travel.com/germany/frankfurt/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,ドイツ,DE,ノイシュバンシュタイン城,https://www.hankyu-travel.com/germany/neuschwanstein/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,ドイツ,DE,ハイデルベルク,https://www.hankyu-travel.com/germany/heidelberg/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,ドイツ,DE,ベルリン,https://www.hankyu-travel.com/germany/berlin/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,ドイツ,DE,ミュンヘン,https://www.hankyu-travel.com/germany/munchen/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,スペイン,ES,,https://www.hankyu-travel.com/spain/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,スペイン,ES,バルセロナ,https://www.hankyu-travel.com/spain/barcelona/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
ヨーロッパ,BEU,スペイン,ES,マドリッド,https://www.hankyu-travel.com/spain/madrid/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151621&blog_id=72
