p_country_name,p_country_name_en,p_country_code,url,cms_link
広島県,hiroshima,34,https://www.hankyu-travel.com/freeplan-d/facility/34/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
山口県,yamaguchi,35,https://www.hankyu-travel.com/freeplan-d/facility/35/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
徳島県,tokushima,36,https://www.hankyu-travel.com/freeplan-d/facility/36/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
香川県,kagawa,37,https://www.hankyu-travel.com/freeplan-d/facility/37/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
愛媛県,ehime,38,https://www.hankyu-travel.com/freeplan-d/facility/38/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
高知県,kochi,39,https://www.hankyu-travel.com/freeplan-d/facility/39/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
福岡県,fukuoka,40,https://www.hankyu-travel.com/freeplan-d/facility/40/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
佐賀県,saga,41,https://www.hankyu-travel.com/freeplan-d/facility/41/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
長崎県,nagasaki,42,https://www.hankyu-travel.com/freeplan-d/facility/42/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
熊本県,kumamoto,43,https://www.hankyu-travel.com/freeplan-d/facility/43/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
大分県,oita,44,https://www.hankyu-travel.com/freeplan-d/facility/44/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
宮崎県,miyazaki,45,https://www.hankyu-travel.com/freeplan-d/facility/45/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
鹿児島県,kagoshima,46,https://www.hankyu-travel.com/freeplan-d/facility/46/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
沖縄県,okinawa,47,https://www.hankyu-travel.com/freeplan-d/facility/47/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
