Target campaign	Target ad group	title1(text)	tour_price(text)	Target location	出発地(text)	Target location restriction	URL
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Okayama, Japan	岡山発	Physical location	https://www.hankyu-travel.com/hawaii/okj.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Hiroshima, Japan	広島発	Physical location	https://www.hankyu-travel.com/hawaii/hij.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Yamaguchi, Japan	山口発	Physical location	https://www.hankyu-travel.com/hawaii/ubj.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Kagawa, Japan	香川・徳島発	Physical location	https://www.hankyu-travel.com/hawaii/tak.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Tokushima, Japan	香川・徳島発	Physical location	https://www.hankyu-travel.com/hawaii/tak.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Ehime, Japan	松山発	Physical location	https://www.hankyu-travel.com/hawaii/myj.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Kochi, Japan	高知発	Physical location	https://www.hankyu-travel.com/hawaii/kcz.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Fukuoka, Japan	福岡発	Physical location	https://www.hankyu-travel.com/hawaii/fuk.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Saga, Japan	福岡発	Physical location	https://www.hankyu-travel.com/hawaii/fuk.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Nagasaki, Japan	長崎発	Physical location	https://www.hankyu-travel.com/hawaii/ngs.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Kumamoto, Japan	熊本発	Physical location	https://www.hankyu-travel.com/hawaii/kmj.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Oita, Japan	大分発	Physical location	https://www.hankyu-travel.com/hawaii/oit.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Miyazaki, Japan	宮崎発	Physical location	https://www.hankyu-travel.com/hawaii/kmi.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Kagoshima, Japan	鹿児島発	Physical location	https://www.hankyu-travel.com/hawaii/koj.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ハワイ	ハワイ		Okinawa, Japan	沖縄発	Physical location	https://www.hankyu-travel.com/hawaii/oka.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Hokkaido, Japan	北海道発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/spk.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Aomori, Japan	青森発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/aoj.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Akita, Japan	東北発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/sdj.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Iwate, Japan	東北発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/sdj.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Miyagi, Japan	東北発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/sdj.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Yamagata, Japan	東北発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/sdj.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Fukushima, Japan	東北発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/sdj.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Tokyo, Japan	関東発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/tyo.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Saitama, Japan	関東発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/tyo.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Kanagawa, Japan	関東発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/tyo.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Chiba, Japan	関東発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/tyo.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Ibaraki, Japan	関東発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/tyo.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Tochigi, Japan	関東発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/tyo.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Gunma, Japan	関東発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/tyo.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Yamanashi, Japan	関東発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/tyo.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Niigata, Japan	新潟発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/kij.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Nagano, Japan	長野発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/mmj.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Toyama, Japan	北陸発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/hkr.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Ishikawa, Japan	北陸発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/hkr.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Fukui, Japan	北陸発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/hkr.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Aichi, Japan	名古屋発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/ngo.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Mie, Japan	名古屋発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/ngo.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Gifu, Japan	名古屋発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/ngo.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Shizuoka, Japan	静岡発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/szo.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Osaka, Japan	関西発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/osa.php
ggsc_kaigai_000_kyotennashi_hawai	SC_海外ツアー_000_拠点なし_ホノルル	ホノルル		Kyoto, Japan	関西発	Physical location	https://www.hankyu-travel.com/hawaii/oahu/osa.php
